match,predicted_winner,actual_winner,correct,rhythm_home,rhythm_away,common_pattern
Manchester United FC vs Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,True,-0.2,0.8,DW
Leicester City FC vs Liverpool FC,Liverpool FC,Liverpool FC,True,-0.8,0.6,L
Tottenham Hotspur FC vs Nottingham Forest FC,Nottingham Forest FC,Nottingham Forest FC,True,-0.4,0.2,LL
Manchester City FC vs Aston Villa FC,Aston Villa FC,Manchester City FC,False,0.6,1.0,WW
Arsenal FC vs Crystal Palace FC,Arsenal FC,DRAW,False,0.6,-0.2,DW
Chelsea FC vs Everton FC,Chelsea FC,Chelsea FC,True,0.2,-0.2,DW
Brighton & Hove Albion FC vs West Ham United FC,West Ham United FC,Brighton & Hove Albion FC,False,-0.6,-0.4,LDL
Newcastle United FC vs Ipswich Town FC,Newcastle United FC,Newcastle United FC,True,0.6,-0.4,WL
Southampton FC vs Fulham FC,Fulham FC,Fulham FC,True,-0.6,-0.2,LL
Wolverhampton Wanderers FC vs Leicester City FC,Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,True,1.0,-0.8,
AFC Bournemouth vs Manchester United FC,AFC Bournemouth,DRAW,False,-0.2,-0.4,LL
Liverpool FC vs Tottenham Hotspur FC,Liverpool FC,Liverpool FC,True,0.6,-0.6,WL
Nottingham Forest FC vs Brentford FC,DRAW,Brentford FC,False,0.2,0.2,WL
Manchester City FC vs Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,Manchester City FC,False,0.8,1.0,WWW
Aston Villa FC vs Fulham FC,Aston Villa FC,Aston Villa FC,True,0.6,-0.2,WL
Everton FC vs Ipswich Town FC,DRAW,DRAW,True,-0.4,-0.4,LD
Leicester City FC vs Southampton FC,Southampton FC,Leicester City FC,False,-0.8,-0.6,LLDL
Arsenal FC vs AFC Bournemouth,Arsenal FC,AFC Bournemouth,False,0.4,0.0,WDD
Brentford FC vs Manchester United FC,Brentford FC,Brentford FC,True,0.2,-0.6,LD
Brighton & Hove Albion FC vs Newcastle United FC,Newcastle United FC,DRAW,False,-0.4,0.6,LW
West Ham United FC vs Tottenham Hotspur FC,DRAW,DRAW,True,-0.6,-0.6,L
Chelsea FC vs Liverpool FC,DRAW,Chelsea FC,False,0.6,0.6,WW
Crystal Palace FC vs Nottingham Forest FC,DRAW,DRAW,True,-0.2,-0.2,WLL
Fulham FC vs Everton FC,DRAW,Everton FC,False,-0.2,-0.2,WLL
Ipswich Town FC vs Brentford FC,Brentford FC,Brentford FC,True,-0.6,0.6,D
Southampton FC vs Manchester City FC,Manchester City FC,DRAW,False,-0.8,0.8,D
Wolverhampton Wanderers FC vs Brighton & Hove Albion FC,Wolverhampton Wanderers FC,Brighton & Hove Albion FC,False,0.6,-0.2,W
AFC Bournemouth vs Aston Villa FC,Aston Villa FC,Aston Villa FC,True,0.4,0.6,W
Newcastle United FC vs Chelsea FC,Chelsea FC,Newcastle United FC,False,0.4,0.6,WW
Manchester United FC vs West Ham United FC,West Ham United FC,West Ham United FC,True,-0.6,-0.4,LDL
Nottingham Forest FC vs Leicester City FC,DRAW,DRAW,True,-0.4,-0.4,LLW
Tottenham Hotspur FC vs Crystal Palace FC,DRAW,Crystal Palace FC,False,-0.4,-0.4,LLD
Liverpool FC vs Arsenal FC,Liverpool FC,DRAW,False,0.2,0.0,L
Aston Villa FC vs Tottenham Hotspur FC,Aston Villa FC,Aston Villa FC,True,0.6,-0.8,L
Chelsea FC vs Manchester United FC,Chelsea FC,Chelsea FC,True,0.4,-0.8,D
Everton FC vs Southampton FC,Everton FC,Everton FC,True,0.0,-0.6,LLD
West Ham United FC vs Nottingham Forest FC,DRAW,Nottingham Forest FC,False,-0.2,-0.2,LD
Brentford FC vs Fulham FC,Brentford FC,Fulham FC,False,0.8,-0.6,W
Leicester City FC vs Ipswich Town FC,Leicester City FC,Leicester City FC,True,-0.2,-0.6,DLL
Arsenal FC vs Newcastle United FC,Newcastle United FC,Arsenal FC,False,0.0,0.4,DW
Brighton & Hove Albion FC vs Liverpool FC,Liverpool FC,Brighton & Hove Albion FC,False,0.2,0.4,D
Crystal Palace FC vs Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,Crystal Palace FC,False,0.0,0.2,L
Manchester City FC vs AFC Bournemouth,Manchester City FC,Manchester City FC,True,0.8,0.2,WD
AFC Bournemouth vs Leicester City FC,Leicester City FC,AFC Bournemouth,False,-0.2,0.0,DW
Fulham FC vs Manchester City FC,Manchester City FC,Manchester City FC,True,-0.2,0.8,W
Ipswich Town FC vs West Ham United FC,West Ham United FC,West Ham United FC,True,-0.8,-0.2,LD
Liverpool FC vs Crystal Palace FC,Crystal Palace FC,DRAW,False,0.0,0.4,WW
Manchester United FC vs Aston Villa FC,Aston Villa FC,Manchester United FC,False,-0.8,0.6,L
Newcastle United FC vs Everton FC,DRAW,Everton FC,False,0.0,0.0,DW
Nottingham Forest FC vs Chelsea FC,Chelsea FC,Chelsea FC,True,0.2,0.6,WL
Southampton FC vs Arsenal FC,Arsenal FC,Arsenal FC,True,-0.6,0.2,DL
Tottenham Hotspur FC vs Brighton & Hove Albion FC,Brighton & Hove Albion FC,Brighton & Hove Albion FC,True,-0.8,0.4,L
Wolverhampton Wanderers FC vs Brentford FC,Brentford FC,DRAW,False,-0.2,0.6,WWL
